statement,source,veracity,date,lemmas
"""Most likely the primary control knob (for the earth’s temperature) is the ocean waters and this environment that we live in.""",Rick Perry,0,2017-06-22,likely primary control knob earth temperature ocean water environment live
"""5.7 million -- that’s how many illegal immigrants might have voted"" in 2008.",Ainsley Earhardt,0,2017-06-22,million illegal immigrant vote
"""Chinese lunar rover finds no evidence of American moon landings.""",AntiNews.in,0,2017-06-22,chinese lunar rover find evidence american moon landing
Obamacare has led to fewer health insurance options for millions of Americans.,Donald Trump,0,2017-06-21,obamacare lead health insurance option million americans
"Says Barack Obama ""acknowledged over 20 times"" that his administration’s Deferred Action for Parents of Americans ""immigration edict was a violation of law and the separation of powers.""",Ken Paxton,0,2017-06-21,barack obama acknowledge time administration deferred action parents americans immigration edict violation law separation power
"The Trump administration has granted amnesty to ""nearly 100,000 'Dreamers' """,Ann Coulter,1,2017-06-21,trump administration grant amnesty nearly dreamer
"""A study by the National Economics Research Association showed that the (Paris climate) deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.""",Gus Bilirakis,0,2017-06-21,study national economics research association paris climate deal cost million lose job country adhere commitment obama administration
"""Libtard hero Al Franken forced to resign in disgrace.""",Bloggers,0,2017-06-21,libtard hero al franken force resign disgrace
"In the Georgia House district that hosted a special election on June 20, ""Trump won by 20+ points.""",Joy Reid,0,2017-06-21,georgia house district host special election june trump win point
"""Docs: Wisconsin Governor Scott Walker took $1 million from a pro-Putin Ukrainian businessman—last election cycle.""",Tweets,0,2017-06-21,doc wisconsin governor scott walker million pro putin ukrainian businessman election cycle
"""Cannibals arrested in Florida claim eating human flesh cures diabetes and depression""",TheMiamiGazette.com,0,2017-06-20,cannibal arrest florida claim eat human flesh cure diabetes depression
"Says Jon Ossoff ""doesn't even live in (his) district.""",Donald Trump,1,2017-06-20,jon ossoff live district
"Says Kellyanne Conway said liberal women hate her because of her ""striking beauty and intellect.""",LondonWebNews.com,0,2017-06-20,kellyanne conway liberal woman hate strike beauty intellect
"""Nancy Pelosi suffers breakdown, taken from Capitol Hill on a stretcher.""",FreedomCrossroads.us,0,2017-06-20,nancy pelosi suffer breakdown capitol hill stretcher
"""The same unhinged leftists cheering last week's shooting are all backing Jon Ossoff.""",Principled PAC,0,2017-06-19,unhinged leftist cheer week shooting jon ossoff
"""Trump welcomes Jamaica as a U.S. territory""",Bloggers,0,2017-06-19,trump welcome jamaica territory
Says Barack Obama complained that Democrats continue to ignore blacks except at election time.,Great America Alliance,0,2017-06-19,barack obama complain democrats continue ignore black election time
"""The new Rasmussen Poll, one of the most accurate in the 2016 Election, just out with a Trump 50% Approval Rating. That's higher than O's #'s!""",Donald Trump,0,2017-06-19,new rasmussen poll accurate election trump approval rating high o
"""The Kingdom of Saudi Arabia, whose government has important business and policy before the president of the United States, has already spent hundreds of thousands of dollars at the Trump International Hotel.""",Karl Racine,1,2017-06-19,kingdom saudi arabia government important business policy president united states spend thousand dollar trump international hotel
"""There are currently 6 million jobs available in this country that are due in part to the skills gap.""",Ivanka Trump,1,2017-06-16,currently million job available country skill gap
"Says Loretta Lynch was part of ""a stunning collection of calls to violence and murder from the intolerant, unhinged leftists in the Democrat party.""",Infowars,0,2017-06-16,loretta lynch stunning collection violence murder intolerant unhinged leftist democrat party
A political map circulated by Sarah Palin’s PAC incited Rep. Gabby Giffords’ shooting,New York Times Editorial Board,0,2017-06-15,political map circulate sarah palin pac incite gabby giffords shooting
"""Democrat Maxine Waters has shown up to only 10 percent of congressional meetings for 35 years.""",TeddyStick.com,0,2017-06-15,democrat maxine waters percent congressional meeting year
"A national paid leave program ""would potentially put into the economy $21 billion dollars annually.""",Kirsten Gillibrand,0,2017-06-15,national pay leave program potentially economy billion dollar annually
"Says each of the past three years ""has been the hottest on record.""",Derrick Crowe,1,2017-06-15,past year hot record
"""Americans are 25x more likely to be shot & killed than others in developed countries.""",Gavin Newsom,1,2017-06-14,americans likely shoot kill develop country
"""Two million more people just dropped out of Obamacare. It is in a death spiral.""",Donald Trump,0,2017-06-14,million people drop obamacare death spiral
"Says the Senate Intelligence Committee has held 10 public hearings this year, ""more than double that held by the committee in any recent year.""",Richard Burr,1,2017-06-14,senate intelligence committee hold public hearing year double hold committee recent year
"Says Iran has ""violated the terms of the (nuclear) deal.""",Karen Handel,0,2017-06-14,iran violate term nuclear deal
"""How many federal rulings have NOW found intentional discrimination by #Txlege since 2011? 6.""",Rafael Anchia,1,2017-06-14,federal ruling find intentional discrimination txlege
"Says his campaign has received donations from ""more than 7,000 contributors.""",Andrew Gillum,0,2017-06-14,campaign receive donation contributor
"""NASA confirms Earth will experience 15 days of darkness In November 2017.""",Bloggers,0,2017-06-14,nasa confirm earth experience day darkness november
"""The DEA just raided a United States senator — Dems in a panic.""",Bloggers,0,2017-06-14,dea raid united states senator dems panic
"Rare is the president ""who's passed more legislation, who's done more things than what we've done, between the executive orders and the job-killing regulations that have been terminated.""",Donald Trump,0,2017-06-13,rare president pass legislation thing executive order job kill regulation terminate
"Says Keanu Reeves gave a speech that began, ""I cannot be part of a world where men dress their wives as prostitutes by showing everything that should be cherished ...""",Bloggers,0,2017-06-13,keanu reeves speech begin i world man dress wife prostitute cherish
"""Edward Snowden: Osama bin Laden is still alive living in the Bahamas.""",AntiNews.in,0,2017-06-12,edward snowden osama bin laden alive live bahamas
"""While (women) represent 47 percent of the overall work force, we only make up 23 percent of STEM-related occupations.""",Ivanka Trump,1,2017-06-12,woman represent percent overall work force percent stem relate occupation
"For 22 percent of N.H. Meals on Wheels recipients, the delivery driver is ""the only human contact in their life from week to week.""",Ann McLane Kuster,1,2017-06-09,percent meal wheel recipient delivery driver human contact life week week
Says former FBI Director James Comey admitted to leaking classified information.,North Carolina Republican Party,0,2017-06-09,fbi director james comey admit leak classified information
"""We have pay equity. When you think about that wage gap, we all know it's 78 cents to the dollar. Well, in New York state it's 90 cents to the dollar.""",Kathy Hochul,1,2017-06-09,pay equity think wage gap know cent dollar new york state cent dollar
"""Seventy-seven of the top 300 cities with the highest poverty rate"" nationwide are in California.",Antonio  Villaraigosa,0,2017-06-09,seventy seven city high poverty rate nationwide california
"""Every single year that there's an increase (in temperature) it's within the margin of error -- meaning it isn't increasing.""",Greg Gutfeld,0,2017-06-09,single year increase temperature margin error mean increase
"""The best estimate is that 200,000 people in Wisconsin were either denied or chilled in their efforts to vote"" in the 2016 presidential election.",Hillary Clinton,0,2017-06-09,good estimate people wisconsin deny chill effort vote presidential election
"""The Earth is 6,000 years old, that’s a fact.""",Jesse Kremer,0,2017-06-08,earth year old fact
Says an Internet meme shows people rejoicing over the Paris agreement.,Sarah Palin,0,2017-06-07,internet meme people rejoice paris agreement
"""Trump Removing Marines From the Navy.""",Vet TV,0,2017-06-07,trump removing marines navy
"Says ""Scott Baio .. dies in small plane crash.""",Daily USA Update,0,2017-06-07,scott baio die small plane crash
"""Property taxes are lower right now than they were"" in December 2010 on a median-valued home in Wisconsin.",Scott Walker,1,2017-06-07,property taxis low right december median value home wisconsin
"""In 2012, you were discussing how you led the effort to defund breast cancer screenings at Planned Parenthood.""",Jon  Ossoff,1,2017-06-06,discuss lead effort defund breast cancer screening planned parenthood
"""The waiting list for Pre-K is over in the House budget.""",David Lewis,1,2017-06-06,wait list pre k house budget
"""Trump’s Top Scientist Pick: ‘Scientists Are Just Dumb Regular People That Think Dinosaurs Existed And The Earth Is Getting Warmer’""",Uspoln Website,0,2017-06-06,trump top scientist pick scientist dumb regular people think dinosaurs exist earth warm
"Says ""Monica Lewinsky Found Dead"" in a burglary.",Bloggers,0,2017-06-06,monica lewinsky find dead burglary
"""China will be allowed to build hundreds of additional coal plants. So we can’t build the plants, but they can, according to this (Paris) agreement.""",Donald Trump,0,2017-06-05,china allow build additional coal plant build plant accord paris agreement
"""70 percent of Florida is in drought today.""",Al Gore,1,2017-06-05,percent florida drought today
"""Since the fourth quarter of last year until most recently, we've added almost 50,000 jobs in the coal sector. In the month of May alone, almost 7,000 jobs.""",Scott Pruitt,0,2017-06-05,fourth quarter year recently add job coal sector month may job
"""A majority of President Trump's supporters and voters wanted (the United States) to stay in"" the Paris Agreement.",Al Gore,0,2017-06-05,majority president trump supporter voter want united states stay paris agreement
"Says Arabic ""is the third most-common language in Austin.""",Maram Museitif,0,2017-06-05,arabic common language austin
"""At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ‘no reason to be alarmed!’ """,Donald Trump,0,2017-06-04,dead wound terror attack mayor london reason alarm
"Clean energy employs ""more than half a million Californians. That’s nearly ten times more the number of coal mining jobs that exist in the entire nation.""",Kevin de León,1,2017-06-02,clean energy employ half million californians nearly time number coal mining job exist entire nation
"""State economic development dollars were used to support a project where goods were manufactured in China.""",Anthony Brindisi,0,2017-06-02,state economic development dollar use support project good manufacture china
"""Texas leads the country in animal deaths by sodium cyanide M-44s.""",Ann Hudspeth,1,2017-06-02,texas lead country animal death sodium cyanide
"""Fact: Hillary Clinton received 80% of the vote in Pittsburgh.""",Bill Peduto,1,2017-06-02,fact hillary clinton receive vote pittsburgh
"In 2008, ""candidate Obama, he's not even president-elect, sends William Miller over to Iran to establish a back channel and let the Iranians know that should he win the election, they will have friendlier terms.""",Kimberley Strassel,0,2017-06-02,candidate obama president elect send william miller iran establish channel let iranians know win election friendly term
"""When you look at all the state and local taxes we pay in Wisconsin, the wealthiest 1 percent pay the lowest overall tax rate.""",Mike  McCabe,1,2017-06-02,look state local taxis pay wisconsin wealthy percent pay low overall tax rate
"""Syria and Nicaragua are the only nations that didn't sign the Paris Agreement. Nicaragua said it wasn't tough enough.""",Debbie Wasserman Schultz,1,2017-06-01,syria nicaragua nation sign paris agreement nicaragua tough
"""Rubio: ‘Rape victims should be in custody if there is suspicion that they’re planning abortion.’ """,Uspoln Website,0,2017-06-01,rubio rape victim custody suspicion plan abortion
"""ISIS is infiltrating America and using Syrians to do it.""",National Republican Congressional Committee,0,2017-06-01,isis infiltrate america use syrians
"Says President Donald ""Trump’s budget gives a $100 billion tax break to three of the wealthiest families.""",Bernie Sanders,0,2017-05-31,president donald trump budget billion tax break wealthy family
"""You can collude all you want with a foreign government in an election. There's no such statute"" (that makes collusion a crime).",Gregg Jarrett,0,2017-05-31,collude want foreign government election statute collusion crime
"Says Pat Robertson said, ""We must impose a rule on the gay population that would require them to wear specially-colored clothes.""",Uspoln Website,0,2017-05-31,pat robertson impose rule gay population require wear specially color clothe
"""Many of the countries in question (in Trump’s travel ban) don't even have a U.S. embassy there to help us vet.""",John Kelly,1,2017-05-31,country question trump travel ban embassy help vet
President Trump greenlighted Congress to ramp up Clinton investigation.,Bloggers,0,2017-05-31,president trump greenlighte congress ramp clinton investigation
"In Wisconsin’s school voucher program, ""two-thirds of the money"" in the ""tax vouchers"" went to people ""making more than $100,000.""",Mark Pocan,0,2017-05-31,wisconsin school voucher program money tax voucher people
"California Gov. Jerry Brown was ""Caught in the Middle of a $60 Billion Corruption Investigation.""",Bloggers,0,2017-05-30,california jerry brown catch middle billion corruption investigation
"""Due to the recent downturn in steel production, more than 13,600 Americans have been laid off and the steel industry is facing billions in losses.""",Claire McCaskill,1,2017-05-30,recent downturn steel production americans lay steel industry face billion loss
"President Donald Trump ""announced that he would reinstate a national day of remembrance for fallen officers that the traitor before him had done away with.""",Bloggers,0,2017-05-30,president donald trump announce reinstate national day remembrance fall officer traitor away
"Deals struck on his first foreign trip as president made and saved ""millions of jobs.""",Donald Trump,0,2017-05-26,deal strike foreign trip president save million job
"Says U.S. Rep. Trey Gowdy’s 8-year-old son found dead ""in a dumpster in D.C.""",Bloggers,0,2017-05-26,trey gowdy year old son find dead dumpster
"""(James) Comey knew murdered DNC staffer, Seth Rich, was WikiLeaks source & covered it up for Hillary (Clinton).""",PatriotCrier.com,0,2017-05-26,james comey knew murder dnc staffer seth rich wikileaks source cover hillary clinton
"""Bay Area liberals have given more to Jon Ossoff's campaign than people in Georgia.""",Congressional  Leadership Fund,0,2017-05-26,bay area liberal jon ossoff campaign people georgia
"California Gov. Jerry Brown’s budget ""cuts funds for local tree mortality efforts from $52.7 million to just $2 million.""",Jim Patterson,0,2017-05-25,california jerry brown budget cut fund local tree mortality effort million million
"""This year, a majority of states are seeing premiums and costs double"" under Obamacare.",James Lankford,0,2017-05-25,year majority state premium cost double obamacare
"""In Florida felonies can be things like buying weed, tampering with an odometer or disturbing a lobster trap. So basically spring break.""",Samantha Bee,1,2017-05-25,florida felony thing like buy weed tamper odometer disturb lobster trap basically spring break
"""You could lose your rights for life over something as simple as driving with a suspended license"" in Florida.",Desmond Meade,1,2017-05-25,lose right life simple drive suspend license florida
"Under the American Health Care Act ""people with pre-existing conditions are protected.""",American Action Network,0,2017-05-24,american health care act people pre existing condition protect
"""NASA will pay you $18,000 to stay in bed and smoke weed for 70 straight days.""",Bloggers,0,2017-05-24,nasa pay stay bed smoke weed straight day
"""Voter turnout in 2016 was reduced by approx. 200,000 votes because of WI’s photo ID laws.""",Tammy Baldwin,0,2017-05-24,voter turnout reduce approx vote wi photo id law
"""Last year was one of the deadliest years ever for law enforcement officers.""",Thom Tillis,0,2017-05-23,year deadly year law enforcement officer
"""Donald Trump praises Colonel Sanders for his service in the Civil War.""",TheRedShtick.com,0,2017-05-23,donald trump praise colonel sanders service civil war
"The Department of Homeland Security’s database of legal immigrants has ""never"" been ""bounced against a state’s voter rolls.""",Kris Kobach,0,2017-05-23,department homeland security database legal immigrant bounce state voter roll
"""If Donald Trump would stay home from Mar-a-Lago one weekend, it would pay the entire meals on wheels budget for the state of Missouri for almost two years.""",Claire McCaskill,0,2017-05-23,donald trump stay home mar lago weekend pay entire meal wheel budget state missouri year
"Democratic National Committee staffer Seth Rich ""apparently was assassinated at 4 in the morning, having given WikiLeaks something like 53,000 emails and 17,000 attachments. ... It turns out, it wasn’t the Russians.""",Newt Gingrich,0,2017-05-23,democratic national committee staffer seth rich apparently assassinate morning having wikileaks like email attachment turn russians
"Says Texas tax legislation would ""save the average homeowner in Texas $20,000 a year over the next 20 years or so.""",Dan Patrick,0,2017-05-23,texas tax legislation save average homeowner texas year year
"California Gov. Jerry Brown has proposed ""diverting 30 percent of the funding"" from the state’s gas tax increase ""to non-road related projects like building parks and job training for felons.""",Melissa  Melendez,0,2017-05-19,california jerry brown propose divert percent funding state gas tax increase non road relate project like building park job training felon
"""You can see visits to Moscow made during the campaign by (Paul) Manafort and others.""",Maxine Waters,0,2017-05-19,visit moscow campaign paul manafort
There is no ‘backlog’ of untested rape kits in Wisconsin.,Brad Schimel,0,2017-05-19,backlog untested rape kit wisconsin
"""What Trump is alleged to have done is actually no different than what Barack Obama did in April last year when he made it known that he didn’t want Hillary prosecuted.""",Rush Limbaugh,0,2017-05-18,trump allege actually different barack obama april year know want hillary prosecute
"""President Obama became the first president since Carter to leave the White House with a smaller federal prison population than when he took office.""",Charles Schumer,1,2017-05-18,president obama president carter leave white house small federal prison population office
"Says Travis County Sheriff Sally Hernandez ""declared that she would not detain known criminals accused of violent crimes.""",Greg Abbott,0,2017-05-18,travis county sheriff sally hernandez declare detain know criminal accuse violent crime
"Says there are thousands of registered voters over 110 years old in North Carolina, including one who is 219 years old.",Chain email,0,2017-05-18,thousand register voter year old north carolina include year old
"""More (people) die from indoor air pollution than from malaria, HIV/AIDS and TB combined.""",James Rockall,1,2017-05-18,more people die indoor air pollution malaria hiv aids tb combine
"""Jefferson Davis statue to be replaced with Obama likeness.""",TDAlliance.com,0,2017-05-18,jefferson davis statue replace obama likeness
"Farmers ""are now dumping milk into the ditches"" because of a trade dispute with Canada",Chris Collins,0,2017-05-18,farmer dump milk ditch trade dispute canada
"An ""abortion procedure is actually safer than a vasectomy.""",Mary González,1,2017-05-17,abortion procedure actually safe vasectomy
"""Some of the safest communities in the United States are along the border.""",Jorge Ramos,1,2017-05-17,safe community united states border
"""FBI uncovers evidence that 62 million Trump voters are all Russian agents!""",Bloggers,0,2017-05-17,fbi uncover evidence million trump voter russian agent
"It is a myth that Florida's education legislation was ""negotiated in secret.""",Richard Corcoran,0,2017-05-17,myth florida education legislation negotiate secret
"Says ""Karen Handel’s office budget increased a whopping 42 percent.""",DCCC,0,2017-05-17,karen handel office budget increase whopping percent
"""Barack Obama arrested in a Japanese drug bust.""",Bloggers,0,2017-05-17,barack obama arrest japanese drug bust
"""We are investing more money into education than ever before in the history of Wisconsin.""",Scott Walker,0,2017-05-17,invest money education history wisconsin
"""The minute the president speaks about it to someone, he has the ability to declassify anything at any time without any process.""",James Risch,1,2017-05-16,minute president speak ability declassify time process
"""Law firm @POTUS used to show he has no ties to Russia was named Russia Law Firm of the Year for their extensive ties to Russia. Unreal.""",Chris Murphy,1,2017-05-16,law firm use tie russia russia law firm year extensive tie russia unreal
Say Lance Armstrong is dead.,Bloggers,0,2017-05-15,lance armstrong dead
"""Fox star Tucker Carlson in critical condition (then died) after head on collision driving home.""",Bloggers,0,2017-05-15,fox star tucker carlson critical condition die head collision drive home
"The federal tax code includes ""deductions for birds flying across America.""",Donald Trump,1,2017-05-15,federal tax code include deduction bird fly america
"""Planned Parenthood is the biggest abortion provider in the country.""",Glenn Grothman,1,2017-05-15,planned parenthood big abortion provider country
"""(Charter schools in Missouri) are actually failing in a greater capacity than the public school systems.""",Nate Walker,0,2017-05-13,charter school missouri actually fail great capacity public school system
"Says James Clapper ""and virtually everyone else"" said ""there is no collusion"" in the Russia investigation findings.",Donald Trump,0,2017-05-12,james clapper virtually collusion russia investigation finding
"""Clinton Foundation cargo ship raided at Port of Baltimore"" caught smuggling 460 undocumented immigrants.",Bloggers,0,2017-05-12,clinton foundation cargo ship raid port baltimore catch smuggle undocumented immigrant
"""This Russia thing with Trump and Russia is a made-up story. It's an excuse by the Democrats for having lost an election that they should've won.""",Donald Trump,0,2017-05-12,russia thing trump russia story excuse democrats having lose election win
The Republican replacement for Obamacare does not give massive tax cuts to wealthy Americans.,Sean Duffy,0,2017-05-12,republican replacement obamacare massive tax cut wealthy americans
"Says a federal program that collects reported side-effects of vaccinations doesn’t accept possible outcomes extending to road accidents, heart attacks or suicides.",Bill Zedler,0,2017-05-11,federal program collect report effect vaccination accept possible outcome extend road accident heart attack suicide
"""We got to a point that our Air Force pilots were going to museums to find spare parts over the last eight years"" under Barack Obama.",Paul Ryan,0,2017-05-11,point air force pilot museum find spare year barack obama
"A University of Texas ""student pulled out a concealed handgun"" on a knife-wielding suspect ""and made him back down.""",Bloggers,0,2017-05-10,university texas student pull conceal handgun knife wield suspect
"""We have 5 percent of world population. 80 percent of opioids.""",Claire McCaskill,0,2017-05-10,percent world population percent opioid
"In the House Republican health care bill, ""we’re expanding women’s access to health services by redirecting Planned Parenthood dollars to community health centers, which vastly outnumber Planned Parenthood clinics.""",Barry Loudermilk,0,2017-05-09,house republican health care bill expand woman access health service redirect planned parenthood dollar community health center vastly outnumber planned parenthood clinic
"""Nobody on Medicaid"" will have their benefits taken away.",Kevin McCarthy,0,2017-05-09,medicaid benefit away
"The GOP health bill ""would once again allow being a rape or domestic violence victim to be a pre-existing condition.""",Judy Chu,0,2017-05-09,gop health bill allow rape domestic violence victim pre exist condition
"""Clinton Foundation ordered to cease operations – Chelsea (Clinton) charged with fraud!""",Bloggers,0,2017-05-09,clinton foundation order cease operation chelsea clinton charge fraud
"""Under ‘Trumpcare,’"" domestic violence and sexual assault ""could be considered pre-existing conditions.""",Gwen Moore,0,2017-05-09,trumpcare domestic violence sexual assault consider pre existing condition
"""Coffee is the second-most traded commodity after oil.""",Starbucks,0,2017-05-08,coffee second trade commodity oil
"In some cases, a sex offender ""who appears on the New York State Sex Offender Registry"" would be able to drive for Uber or Lyft when ride-hailing is allowed upstate in July",Thomas Croci,1,2017-05-08,case sex offender appear new york state sex offender registry able drive uber lyft ride hailing allow upstate july
"""We have got 20 million folks out there across this land who have told the federal government, ‘Phooey, nonsense, I’m not going to participate in your program, because it doesn’t do what I need done.’ """,Tom Price,0,2017-05-08,million folk land tell federal government phooey nonsense i participate program i need
"""Malia Obama arrested with a gang of thugs in Chicago.""",Bloggers,0,2017-05-08,malia obama arrest gang thug chicago
"""Nobody dies because they don’t have access to health care.""",Raul Labrador,0,2017-05-08,die access health care
"Says John Quincy Adams said, ""If your actions inspire others to dream more, learn more, do more, and become more, you are a leader.""",Ivanka Trump,0,2017-05-05,john quincy adams action inspire dream learn leader
"""Bill O’Reilly in critical condition after being attacked by ‘tolerant’ liberals.""",Bloggers,0,2017-05-05,bill critical condition attack tolerant liberal
"Under the House Republican health plan, sexual assault is a pre-existing condition.",Bloggers,0,2017-05-05,house republican health plan sexual assault pre exist condition
Says police officers smoke marijuana once a year as part of their jobs.,Alex Jones,0,2017-05-05,police officer smoke marijuana year job
"""When I became mayor of Los Angeles, we had a 44 percent (high school) graduation rate. I said that was unacceptable. I challenged that notion. I said the mayor needs to be involved with our schools. We need to partner together. As I left, after a number of reforms, we grew our graduation rate from 44 percent to 72.""",Antonio  Villaraigosa,1,2017-05-05,i mayor los angeles percent high school graduation rate i unacceptable i challenge notion i mayor need involve school need partner i leave number reform grow graduation rate percent
"Says Tammy Baldwin was told by a whistleblower about ""overmedicated veterans,"" she made ""deadly mistakes"" and ""three veterans died"" at the Tomah VA hospital.",Americas PAC,0,2017-05-05,tammy baldwin tell whistleblower overmedicate veteran deadly mistake veteran die tomah va hospital
"""Dems want billions to go to Insurance Companies to bail out donors""",Donald Trump,0,2017-05-04,dem want billion insurance company bail donor
"Easing school lunch regulations ""is not reducing the nutritional standards whatsoever.""",Sonny Perdue,0,2017-05-04,ease school lunch regulation reduce nutritional standard whatsoever
"Says the Republican plan to replace Obamacare, ""absolutely does not eliminate protections for pre-existing conditions.""",Robert Pittenger,0,2017-05-04,republican plan replace obamacare absolutely eliminate protection pre existing condition
"""40 percent of American households have female primary breadwinners.""",Ivanka Trump,1,2017-05-03,percent american household female primary breadwinner
"""President Trump last month proposed a $6 billion cut in funding to the National Institutes of Health. And thank God our congressmen made a deal last night to not go along with that. They actually increased funding by $2 billion.""",Jimmy Kimmel,1,2017-05-03,president trump month propose billion cut funding national institutes health thank god congressman deal night actually increase funding billion
"""Larry Krasner is the only candidate running for District Attorney who explicitly pledges to never seek the death penalty.""",Larry Krasner,0,2017-05-03,larry krasner candidate run district attorney explicitly pledge seek death penalty
"Wisconsin politicians get daily expense payments ""even if they don’t spend a dime on meals, or lodging or travel,"" and ""no receipts are required for them to get paid.""",Wisconsin Freedom Alliance,1,2017-05-03,wisconsin politician daily expense payment spend dime meal lodging travel receipt require pay
"""In my 30 year career including dozens of capital cases, not a single client of mine has ever been sentenced to death.""",Tariq El-Shabazz,1,2017-05-02,year career include dozen capital case single client sentence death
"""General Flynn got his clearance from the Obama administration.""",Donald Trump,1,2017-05-02,general flynn clearance obama administration
"""Lindsey Graham threatens to convert to Democrat if Republicans don’t Dump Trump.""",Bloggers,0,2017-05-02,lindsey graham threaten convert democrat republicans dump trump
"Regarding the surgery that saved Jimmy Kimmel's son, ""Medicaid has stopped providing this kind of service.""",Margaret Hoover,0,2017-05-02,regard surgery save jimmy kimmel son medicaid stop provide kind service
"Poor people pay ""in some cases, up to 25 percent of (their) income for water.""",Matt Damon,1,2017-05-01,poor people pay case percent income water
"""China account(s) for 90 percent of North Korean trade.""",Rex Tillerson,1,2017-05-01,china percent north korean trade
"""Ted Nugent killed in hunting accident.""",Bloggers,0,2017-05-01,ted nugent kill hunt accident
"""Sarah Palin in a coma after hit and run.""",Bloggers,0,2017-05-01,sarah palin coma hit run
"""President Trump has passed more legislation in his first 100 days than any president since Harry Truman.""",Tom  McClintock,1,2017-05-01,president trump pass legislation day president harry truman
"Says of the GOP health care proposal, ""pre-existing conditions are in the bill.""",Donald Trump,0,2017-05-01,gop health care proposal pre existing condition bill
"""For the first time in the modern political era, we have confirmed a new justice in the first 100 days.""",Donald Trump,1,2017-04-28,time modern political era confirm new justice day
"The estimated price of President Trump’s border wall is the same as the cost of ""one and a half aircraft carriers.""",Scott Peters,1,2017-04-28,estimate price president trump border wall cost half aircraft carrier
"""The ‘tax plan’ rolled out by @realDonaldTrump would have cut his taxes by $30 million in 2005 (the only year we have returns for).""",Nancy  Pelosi,1,2017-04-28,tax plan roll cut taxis million year return
"""Before NAFTA, trade between the US and Mexico was around $50 billion. Now it stands at more than $500 billion.""",Jeff Flake,1,2017-04-28,nafta trade us mexico billion stand billion
"""There's no real evidence in the last 20 years that"" growth from tax cuts has made up lost revenue.",Rana Foroohar,1,2017-04-28,real evidence year growth tax cut lose revenue
"""Trump warns Russia over Jehovah’s Witnesses ban and urges members to seek asylum in the U.S.""",Bloggers,0,2017-04-28,trump warn russia jehovah witness ban urge member seek asylum
"In Congress, ""on the Democratic side of the room, you’ve got men and women of all different races; on the other side, you’ve got a bunch of white men in dark suits, all over 55 or so.""",Mark Pocan,1,2017-04-28,congress democratic room man woman different race bunch white man dark suit
"""Donald Trump to issue an executive order to ban Facebook across U.S.""",Bloggers,0,2017-04-27,donald trump issue executive order ban facebook
"""The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.""",Donald Trump,0,2017-04-27,record slow economic growth year gdp trade deficit hurt economy badly
"Says President Donald Trump ""has given more financial disclosure than anybody else.""",Steve Mnuchin,0,2017-04-27,president donald trump financial disclosure anybody
Says Texas House rules authorized by the Texas Constitution supersede the state law permitting anyone to record a public government meeting.,Charlie Geren,1,2017-04-27,texas house rule authorize texas constitution supersede state law permit record public government meeting
"In the federal government, ""there’s $16 billion in duplicate programs"" that can be cut.",Jon  Ossoff,1,2017-04-27,federal government billion duplicate program cut
"Trump has ""worked with Congress to pass more legislation in his first 100 days than any president since Truman.""",Sean Spicer,1,2017-04-27,trump work congress pass legislation day president truman
"Says Bernie Sanders ""is the most popular politician in America today.""",Mike Crute,1,2017-04-27,bernie sanders popular politician america today
"""Trump wants to deport American Indians to India.""",Bloggers,0,2017-04-26,trump want deport american indians india
"""Trump's Cabinet is more white and more male than any first Cabinet since President Ronald Reagan’s.""",Center for American Progress,1,2017-04-26,trump cabinet white male cabinet president ronald reagan
"""The single-largest expense in  over half of American households is child care.""",Ivanka Trump,0,2017-04-26,single large expense half american household child care
"""We're experiencing a net outflow of illegal, undocumented workers from America back to Mexico.""",Ron Kind,1,2017-04-26,experience net outflow illegal undocumented worker america mexico
"Says Eric Trump said, ""My father’s tax return is irrelevant because we’re going to cancel taxes for WEALTHY people anyway.""",DemocraticMoms.com,0,2017-04-25,eric trump father tax return irrelevant cancel taxis wealthy people
"""Back when they did NATO, there was no such thing as terrorism.""",Donald Trump,0,2017-04-25,nato thing terrorism
"Illegal immigration on the U.S.-Mexico border is ""the lowest in 17 years.""",Donald Trump,1,2017-04-25,illegal immigration border low year
"""More than 260,000 Americans are employed by the domestic solar industry — three times as many workers as employed by the entire coal mining industry.""",Brad Schneider,1,2017-04-25,more americans employ domestic solar industry time worker employ entire coal mining industry
"""After prohibition ended, police deaths didn't reach 200 a year again until the year Nixon declared war on drugs.""",Viral image,0,2017-04-24,prohibition end police death reach year year nixon declare war drug
"""Nobody applies to the United States for refugee status. They apply to the United Nations.""",Claire McCaskill,0,2017-04-24,apply united states refugee status apply united nations
"""The pace of missile development between (Kim Jong Il and Kim Jong Un) has increased the testing about twenty-fold.""",Richard Burr,1,2017-04-24,pace missile development kim jong il kim jong un increase testing fold
"""No administration has accomplished more in the first 90 days.""",Donald Trump,0,2017-04-24,administration accomplish day
"""Missouri is actually the only state that has been forced to borrow money from the federal government to pay for unemployment benefits during each of the last five economic downturns.""",Allen Andrews,1,2017-04-23,missouri actually state force borrow money federal government pay unemployment benefit economic downturn
