statement,veracity,light_normalization,full_normalization
"""Despite the rhetoric from Democrat politicians, more people are employed this year than at any point in the history of Wisconsin.""",1,"""despite the rhetoric from democrat politicians, more people are employed this year than at any point in the history of wisconsin.""",despite rhetoric democrat politician people employ year point history wisconsin
"""Go look at a Trump product. They’re all made in China.""",0,"""go look at a trump product. theyre all made in china.""",look trump product china
"""The major immigration issue was about Poles, and Bulgarians, and Romanians,"" and that they weren’t contributing economically. ""The unemployment rate among Poles in Britain is lower than the unemployment rate among Brits.""",1,"""the major immigration issue was about poles, and bulgarians, and romanians,"" and that they werent contributing economically. ""the unemployment rate among poles in britain is lower than the unemployment rate among brits.""",major immigration issue pole bulgarian romanian contribute economically unemployment rate pole britain low unemployment rate brit
"Says British voters ""under 50, especially millennials, overwhelmingly voted to stay,"" in the European Union. ""It was older voters who voted to leave.""",1,"says british voters ""under 50, especially millennials, overwhelmingly voted to stay,"" in the european union. ""it was older voters who voted to leave.""",british voter especially millennial overwhelmingly vote stay european union old voter vote leave
"Barack Obama issued a decree ""demanding that every public school now allow grown men and boys into the little girls’ bathroom.""",0,"barack obama issued a decree ""demanding that every public school now allow grown men and boys into the little girls bathroom.""",barack obama issue decree demand public school allow grow man boy little girl bathroom
"""You can’t get on an airplane, but more than 2,000 people on that list have been able to buy a gun.""",0,"""you cant get on an airplane, but more than 2,000 people on that list have been able to buy a gun.""",airplane people list able buy gun
"The National Park Service has ""an annual budget that is less than the city of Austin.""",1,"the national park service has ""an annual budget that is less than the city of austin.""",national park service annual budget city austin
"Says Donald Trump called pregnant employees ""an inconvenience.""",1,"says donald trump called pregnant employees ""an inconvenience.""",donald trump pregnant employee inconvenience
"""For every extra year that a girl stays in secondary school, her chance of getting infected with HIV/AIDS decreases by half.""",1,"""for every extra year that a girl stays in secondary school, her chance of getting infected with hiv/aids decreases by half.""",extra year girl stay secondary school chance getting infect hiv aid decrease half
"""We don't know anything about Hillary in terms of religion. Now, she's been in the public eye for years and years, and yet there's no — there's nothing out there.""",0,"""we don't know anything about hillary in terms of religion. now, she's been in the public eye for years and years, and yet there's no  there's nothing out there.""",know hillary term religion public eye year year
"My administration is ""well represented both racially, ethnically and gender-wise.""",0,"my administration is ""well represented both racially, ethnically and gender-wise.""",administration represent racially ethnically gender wise
"As a result of Roe vs. Wade, ""America’s maternal mortality rate dropped dramatically.""",1,"as a result of roe vs. wade, ""americas maternal mortality rate dropped dramatically.""",result roe wade america maternal mortality rate drop dramatically
"""People have a constitutional right to have semiautomatic rifles.""",1,"""people have a constitutional right to have semiautomatic rifles.""",people constitutional right semiautomatic rifle
"Says Hillary Clinton’s immigration platform would ""create totally open borders.""",0,"says hillary clintons immigration platform would ""create totally open borders.""",hillary clinton immigration platform create totally open border
"Says Hillary Clinton ""has even deleted this record of total support (for the Trans-Pacific Partnership trade agreement) from her book.""",0,"says hillary clinton ""has even deleted this record of total support (for the trans-pacific partnership trade agreement) from her book.""",hillary clinton delete record total support trans pacific partnership trade agreement book
"""Attempts to find things like, ‘crime,’ ‘criminal activity,’ ‘indictment,’ have been filtered out by Google"" in favor of Hillary Clinton.",0,"""attempts to find things like, crime, criminal activity, indictment, have been filtered out by google"" in favor of hillary clinton.",attempt find thing like crime criminal activity indictment filter google favor hillary clinton
"Austin was the ""site of the first mass shooting in the country.""",0,"austin was the ""site of the first mass shooting in the country.""",austin site mass shooting country
"""The LGBT community is more often the victims of hate crimes than any other recognized group.""",1,"""the lgbt community is more often the victims of hate crimes than any other recognized group.""",lgbt community victim hate crime recognize group
"The Benghazi victims were ""left helpless to die as Hillary Clinton soundly slept in her bed.""",0,"the benghazi victims were ""left helpless to die as hillary clinton soundly slept in her bed.""",benghazi victim leave helpless die hillary clinton soundly sleep bed
"The ammunition used in the Orlando shooting ""is banned by Geneva Convention. It enters the body, spins & explodes.""",0,"the ammunition used in the orlando shooting ""is banned by geneva convention. it enters the body, spins & explodes.""",ammunition use orlando shooting ban geneva convention enter body spin explode
"""Al-Qaida operatives, have said, 'Hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill Americans.'""",1,"""al-qaida operatives, have said, 'hey, we want you to use this loophole (for purchasing guns despite being on a watch list) to attack and kill americans.'""",al qaida operative hey want use loophole purchase gun despite watch list attack kill american
"Says Hillary Clinton’s ""State Department blocked investigation into Orlando killer’s mosque.""",0,"says hillary clintons ""state department blocked investigation into orlando killers mosque.""",hillary clinton state department block investigation orlando killer mosque
"""For the amount of money Hillary Clinton would like to spend on refugees, we could rebuild every inner city in America.""",0,"""for the amount of money hillary clinton would like to spend on refugees, we could rebuild every inner city in america.""",money hillary clinton like spend refugee rebuild inner city america
"""Because of Obamacare, you have so many part-time jobs.""",0,"""because of obamacare, you have so many part-time jobs.""",obamacare time job
"Says Hillary Clinton ""said she was under attack (in Bosnia) but the attack turned out to be young girls handing her flowers.""",1,"says hillary clinton ""said she was under attack (in bosnia) but the attack turned out to be young girls handing her flowers.""",hillary clinton attack bosnia attack turn young girl hand flower
"""I was among the earliest to criticize the rush to war (in Iraq), and yes, even before the war ever started.""",0,"""i was among the earliest to criticize the rush to war (in iraq), and yes, even before the war ever started.""",I early criticize rush war iraq yes war start
"Says Russ Feingold’s ""campaign is powered by small-dollar contributions like ours.""",1,"says russ feingolds ""campaign is powered by small-dollar contributions like ours.""",russ feingold campaign power small dollar contribution like
"Says Kelly Ayotte ""voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.""",1,"says kelly ayotte ""voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.""",kelly ayotte vote yesterday proposal expand background check buyer continue simply online gun purchase gun background check
"Says Donald Trump has ""bankrupted his companies not once, not twice but four times.""",1,"says donald trump has ""bankrupted his companies not once, not twice but four times.""",donald trump bankrupt company twice time
"Says the Clinton Foundation ""accepted millions and millions of dollars from governments like Algeria, Saudi Arabia, Oman and the United Arab Emirates,"" which violated ""a ban on all contributions to the Foundation from foreign nations.""",0,"says the clinton foundation ""accepted millions and millions of dollars from governments like algeria, saudi arabia, oman and the united arab emirates,"" which violated ""a ban on all contributions to the foundation from foreign nations.""",clinton foundation accept million million dollar government like algeria saudi arabia oman united arab emirate violate ban contribution foundation foreign nation
"""A gay man who survived #orlando hate crime can STILL show up to work in FL tomorrow and have his boss fire him simply because he is gay.""",1,"""a gay man who survived #orlando hate crime can still show up to work in fl tomorrow and have his boss fire him simply because he is gay.""",gay man survive orlando hate crime work fl tomorrow boss fire simply gay
"""Assault rifles already are banned.""",0,"""assault rifles already are banned.""",assault rifle ban
Says the unemployment rate for African-American youths is 59 percent.,0,says the unemployment rate for african-american youths is 59 percent.,unemployment rate african american youth percent
"Says delegates can't ""legally"" change the Republican National Convention rules to prevent Donald Trump’s nomination.",0,"says delegates can't ""legally"" change the republican national convention rules to prevent donald trumps nomination.",delegate legally change republican national convention rule prevent donald trump nomination
"Even among ""second and third generation"" Muslims in the United States, ""there's no real assimilation.""",0,"even among ""second and third generation"" muslims in the united states, ""there's no real assimilation.""",second generation muslim united state real assimilation
"""Swaziland has the highest rate of HIV infection in the world.""",1,"""swaziland has the highest rate of hiv infection in the world.""",swaziland high rate hiv infection world
"""@realDonaldTrump is coming to San Antonio, which is 60% Mexican-AMERICAN.""",1,"""@realdonaldtrump is coming to san antonio, which is 60% mexican-american.""",come san antonio mexican american
"""ISIS is running through a border made porous by Barack Obama’s policies.""",0,"""isis is running through a border made porous by barack obamas policies.""",isis run border porous barack obama policy
"The average student debt ""coming out of the University of Wisconsin-Madison is something like 28,000 dollars.""",1,"the average student debt ""coming out of the university of wisconsin-madison is something like 28,000 dollars.""",average student debt come university wisconsin madison like dollar
"""According to Pew Research, 99 percent of the people in Afghanistan support oppressive Sharia law.""",1,"""according to pew research, 99 percent of the people in afghanistan support oppressive sharia law.""",accord pew research percent people afghanistan support oppressive sharia law
"American colleges amount to a ""cartel.""",0,"american colleges amount to a ""cartel.""",american college cartel
"""The Obama administration was actively supporting Al Qaeda in Iraq, the terrorist group that became the Islamic State.""",0,"""the obama administration was actively supporting al qaeda in iraq, the terrorist group that became the islamic state.""",obama administration actively support al qaeda iraq terrorist group islamic state
"Last year, ""244 suspected terrorists walked into gun shops and attempted to purchase a firearm; 223 were able to get the firearm.""",1,"last year, ""244 suspected terrorists walked into gun shops and attempted to purchase a firearm; 223 were able to get the firearm.""",year suspect terrorist walk gun shop attempt purchase firearm able firearm
"Says Apple products are currently ""90 percent conflict-free,"" and ""Intel is 100 percent conflict-free.""",0,"says apple products are currently ""90 percent conflict-free,"" and ""intel is 100 percent conflict-free.""",apple product currently percent conflict free intel percent conflict free
"""He leant his name to a bill, did little or nothing three years ago to try to get it passed, (and) since then has done absolutely nothing other than disavow any attempt to move on the legislation.""",0,"""he leant his name to a bill, did little or nothing three years ago to try to get it passed, (and) since then has done absolutely nothing other than disavow any attempt to move on the legislation.""",lean bill little year ago try pass absolutely disavow attempt legislation
"""In America, radical speech is not a crime.""",1,"""in america, radical speech is not a crime.""",america radical speech crime
"""Nine million people have lower-cost HIV/AIDS medicine because of the work of the Clinton Foundation and my husband.""",1,"""nine million people have lower-cost hiv/aids medicine because of the work of the clinton foundation and my husband.""",million people low cost hiv aid medicine work clinton foundation husband
"Says if you try to hide marijuana in a hemp field, ""it becomes worthless. The THC goes away.""",1,"says if you try to hide marijuana in a hemp field, ""it becomes worthless. the thc goes away.""",try hide marijuana hemp field worthless thc away
"""More than 32,000 Americans lose their lives to gun violence each year.""",1,"""more than 32,000 americans lose their lives to gun violence each year.""",american lose life gun violence year
"The rifle used by Omar Mateen ""shoots off 700 rounds in a minute.""",0,"the rifle used by omar mateen ""shoots off 700 rounds in a minute.""",rifle use omar mateen shoot round minute
"""Only half of the murders in the city of St. Louis get solved.""",1,"""only half of the murders in the city of st. louis get solved.""",half murder city st louis solve
"""Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.""",1,"""hate crimes against american muslims and mosques have tripled after paris and san bernardino.""",hate crime american muslim mosque triple paris san bernardino
"""On average, each U.S. military working dog saves the lives of between 150 and 200 servicemen and women over the span of his career.""",0,"""on average, each u.s. military working dog saves the lives of between 150 and 200 servicemen and women over the span of his career.""",average military work dog save life serviceman woman span career
"""Never mind that no red light camera, no speed camera, nor any radar gun has ever stopped one accident from occurring.""",0,"""never mind that no red light camera, no speed camera, nor any radar gun has ever stopped one accident from occurring.""",mind red light camera speed camera radar gun stop accident occur
"Says Nevada lawmakers voted to allow teenaged boys to ""shower with your teenaged girls in public school locker rooms.""",0,"says nevada lawmakers voted to allow teenaged boys to ""shower with your teenaged girls in public school locker rooms.""",nevada lawmaker vote allow teenaged boy shower teenaged girl public school locker room
"Says Hillary Clinton ""plans to massively increase admissions (of Middle East refugees) … including a 500 percent increase in Syrian refugees coming into our country.""",1,"says hillary clinton ""plans to massively increase admissions (of middle east refugees) ... including a 500 percent increase in syrian refugees coming into our country.""",hillary clinton plan massively increase admission middle east refugee include percent increase syrian refugee come country
"""Florida doesn't regulate assault weapons or .50 caliber rifles or large-capacity ammunition magazines. It doesn't require a permit to purchase a gun. It doesn't require any registration, whatsoever.""",1,"""florida doesn't regulate assault weapons or .50 caliber rifles or large-capacity ammunition magazines. it doesn't require a permit to purchase a gun. it doesn't require any registration, whatsoever.""",florida regulate assault weapon caliber rifle large capacity ammunition magazine require permit purchase gun require registration whatsoever
"There is ""no system to vet"" refugees from the Middle East.",0,"there is ""no system to vet"" refugees from the middle east.",system vet refugee middle east
"""We admit more than 100,000 lifetime migrants from the Middle East each year.""",1,"""we admit more than 100,000 lifetime migrants from the middle east each year.""",admit lifetime migrant middle east year
"Says Donald Trump mocked ""someone with a disability.""",1,"says donald trump mocked ""someone with a disability.""",donald trump mock disability
"""The labor force participation rate -- the share of the potential workforce that is actually working or looking for work-- currently stands below 63%, the lowest level since the 1970s.""",1,"""the labor force participation rate -- the share of the potential workforce that is actually working or looking for work-- currently stands below 63%, the lowest level since the 1970s.""",labor force participation rate share potential workforce actually work look currently stand low level
"""30,000 Arizonans may have no choice"" on Affordable Care Act coverage.",1,"""30,000 arizonans may have no choice"" on affordable care act coverage.",arizonan choice affordable care act coverage
"Says Bernie Sanders ""wins California landslide, But ⅔ of his votes aren’t counted.""",0,"says bernie sanders ""wins california landslide, but 23 of his votes arent counted.""",bernie sander win california landslide vote count
"""Tuition-free public universities and colleges are just a pipe dream. False. They were both free up until the Vietnam War.""",0,"""tuition-free public universities and colleges are just a pipe dream. false. they were both free up until the vietnam war.""",tuition free public university college pipe dream false free vietnam war
"In Ohio, ""each year an estimated 1,000 children become victims of human trafficking, and over 3,000 more are at risk.""",0,"in ohio, ""each year an estimated 1,000 children become victims of human trafficking, and over 3,000 more are at risk.""",ohio year estimate child victim human trafficking risk
"Says Ron Johnson voted to turn Medicare ""into a voucher program.""",1,"says ron johnson voted to turn medicare ""into a voucher program.""",ron johnson vote turn medicare voucher program
"""Austin ISD has the highest graduation rate of every major city in Texas.""",0,"""austin isd has the highest graduation rate of every major city in texas.""",austin isd high graduation rate major city texas
"Says the United States has ""treaties with apparently 69 countries where we are obligated to defend their borders. And these were treaties that were executive treaties, not authorized by Congress.""",0,"says the united states has ""treaties with apparently 69 countries where we are obligated to defend their borders. and these were treaties that were executive treaties, not authorized by congress.""",united state treaty apparently country obligate defend border treaty executive treaty authorize congress
"""Crime is rising.""",0,"""crime is rising.""",crime rise
"Since 1978, college ""tuition nationwide has gone up something like four times the rate of inflation.""",1,"since 1978, college ""tuition nationwide has gone up something like four times the rate of inflation.""",college tuition nationwide like time rate inflation
Polls show Bernie Sanders would do better than Hillary Clinton in a head-to-head battle against Donald Trump.,1,polls show bernie sanders would do better than hillary clinton in a head-to-head battle against donald trump.,poll bernie sander hillary clinton head head battle donald trump
"Says Judge Gonzalo Curiel ""is a member of a club or society, very strongly pro-Mexican.""",0,"says judge gonzalo curiel ""is a member of a club or society, very strongly pro-mexican.""",judge gonzalo curiel member club society strongly pro mexican
"Says Obama ""called Kagan a moderate. He called Sotomayor a moderate.""",1,"says obama ""called kagan a moderate. he called sotomayor a moderate.""",obama kagan moderate sotomayor moderate
"Says Merrick Garland ""authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists.""",0,"says merrick garland ""authored an opinion that resulted in the release of 17 guantanamo bay prisoners who were part of a group of violent islamist extremists the state department had designated as terrorists.""",merrick garland author opinion result release guantanamo bay prisoner group violent islamist extremist state department designate terrorist
"""A trade war is something very different (than curbing new trade agreements). We went down that road in the 1930s. It made the Great Depression longer and more painful.""",1,"""a trade war is something very different (than curbing new trade agreements). we went down that road in the 1930s. it made the great depression longer and more painful.""",trade war different curb new trade agreement road great depression long painful
"Says Donald Trump said the U.S. should ""encourage"" Japan to get nuclear weapons.",1,"says donald trump said the u.s. should ""encourage"" japan to get nuclear weapons.",donald trump encourage japan nuclear weapon
"""I've cut the budget of the (lieutenant governor’s) office by more than half.""",1,"""i've cut the budget of the (lieutenant governors) office by more than half.""",I ve cut budget lieutenant governor office half
"Virginia’s banning of felons from voting is a ""Jim Crow-era law.""",0,"virginias banning of felons from voting is a ""jim crow-era law.""",virginia banning felon vote jim crow era law
"""The president has said the national security threat facing America, the top one, is global warming.""",0,"""the president has said the national security threat facing america, the top one, is global warming.""",president national security threat face america global warming
"""More businesses went out of business last year than were started for the first time in our history.""",0,"""more businesses went out of business last year than were started for the first time in our history.""",business business year start time history
"Because George Holding doesn’t live in the congressional district he’s running for, he ""doesn’t experience the same things that we are all experiencing.""",0,"because george holding doesnt live in the congressional district hes running for, he ""doesnt experience the same things that we are all experiencing.""",george holding live congressional district run experience thing experience
"The 2015 Legislature ""passed the fewest laws in 20 years.""",1,"the 2015 legislature ""passed the fewest laws in 20 years.""",legislature pass law year
"""Congressman Joe Heck has (voted) 62% of the time with Nancy Pelosi and the Democrats on a variety of important issues.""",0,"""congressman joe heck has (voted) 62% of the time with nancy pelosi and the democrats on a variety of important issues.""",congressman joe heck vote time nancy pelosi democrats variety important issue
The presence of gorillas calls into question the concept of evolution.,0,the presence of gorillas calls into question the concept of evolution.,presence gorilla question concept evolution
Says he never told anyone he hated the U.S. Senate.,1,says he never told anyone he hated the u.s. senate.,tell hate senate
"Says ""Donald Trump says climate change is a hoax invented by the Chinese.""",1,"says ""donald trump says climate change is a hoax invented by the chinese.""",donald trump climate change hoax invent chinese
Says she was the first in her family to go to a four-year college.,0,says she was the first in her family to go to a four-year college.,family year college
"The Dog Meat Festival in Yulin, China, ""threatens global public health.""",0,"the dog meat festival in yulin, china, ""threatens global public health.""",dog meat festival yulin china threaten global public health
"""The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.""",1,"""the chicago bears have had more starting quarterbacks in the last 10 years than the total number of tenured (uw) faculty fired during the last two decades.""",chicago bear start quarterback year total number tenured uw faculty fire decade
"Says ""Obama wants to give (Iran) nuclear weapons and Michael Bennet, he was all for it.""",0,"says ""obama wants to give (iran) nuclear weapons and michael bennet, he was all for it.""",obama want iran nuclear weapon michael bennet
"Says Hillary Clinton has spoken ""such lies about my foreign policy. They said I want Japan to … get nuclear weapons. Give me a break.""",0,"says hillary clinton has spoken ""such lies about my foreign policy. they said i want japan to ... get nuclear weapons. give me a break.""",hillary clinton speak lie foreign policy I want japan nuclear weapon I break
"We’ve broken ""by millions"" the all-time record for votes in a GOP presidential primary election.",0,"weve broken ""by millions"" the all-time record for votes in a gop presidential primary election.",ve break million time record vote gop presidential primary election
"Say video ""shows massive alligator strolling across Florida golf course.""",1,"say video ""shows massive alligator strolling across florida golf course.""",video massive alligator stroll florida golf course
"""I wanted to keep it private, because I don't think it's anybody's business if I want to send money to the vets.""",0,"""i wanted to keep it private, because i don't think it's anybody's business if i want to send money to the vets.""",I want private I think anybody business I want send money vet
"""It was allowed,"" referring to her email practices.",0,"""it was allowed,"" referring to her email practices.",allow refer email practice
"It's entirely possible that the Democratic nominee, [Hillary Clinton], earned more money giving a single speech on Wall Street than I made the six years that I was there back in the 1980s… In fact, it’s quite likely.",0,"it's entirely possible that the democratic nominee, [hillary clinton], earned more money giving a single speech on wall street than i made the six years that i was there back in the 1980s... in fact, its quite likely.",entirely possible democratic nominee hillary clinton earn money single speech wall street I year I fact likely
"In California, ""the windmills are killing hundreds and hundreds of eagles.""",0,"in california, ""the windmills are killing hundreds and hundreds of eagles.""",california windmill kill eagle
"""More people today are leaving Virginia than moving in.""",1,"""more people today are leaving virginia than moving in.""",people today leave virginia
"California has ""the same water infrastructure from when we were 16 million people.""",1,"california has ""the same water infrastructure from when we were 16 million people.""",california water infrastructure million people
"""I believe we should have tax on carbon and deal aggressively with climate change. That is not (Hillary Clinton's) position.""",1,"""i believe we should have tax on carbon and deal aggressively with climate change. that is not (hillary clinton's) position.""",I believe tax carbon deal aggressively climate change hillary clinton position
"""Right now, in every major poll, national poll and statewide poll done in the last month, six weeks, we are defeating Trump, often by big numbers and always at a larger margin than Secretary Clinton is.""",1,"""right now, in every major poll, national poll and statewide poll done in the last month, six weeks, we are defeating trump, often by big numbers and always at a larger margin than secretary clinton is.""",right major poll national poll statewide poll month week defeat trump big number large margin secretary clinton
Says the Human Rights Campaign is secretly funded,0,says the human rights campaign is secretly funded,human right campaign secretly fund
"Says Maggie Hassan was ""out of state on 30 days over the last three months.""",1,"says maggie hassan was ""out of state on 30 days over the last three months.""",maggie hassan state day month
"""Texas is one of only a handful of states that does not have an equal pay law.""",0,"""texas is one of only a handful of states that does not have an equal pay law.""",texas handful state equal pay law
"Only 50 percent of students from Milwaukee public high schools ""go on to a two-or four-year college.""",1,"only 50 percent of students from milwaukee public high schools ""go on to a two-or four-year college.""",percent student milwaukee public high school year college
"Says Donald Trump ""has the second-highest disapproval ratings of anyone running for president.""",0,"says donald trump ""has the second-highest disapproval ratings of anyone running for president.""",donald trump second high disapproval rating run president
"""No one in American history has moved from a June 16 announcement to a May 26 winning of a majority. Trump's achievement is remarkable.""",0,"""no one in american history has moved from a june 16 announcement to a may 26 winning of a majority. trump's achievement is remarkable.""",american history june announcement win majority trump achievement remarkable
"California’s Capitol building is ""second only to Disneyland,"" among visitor sites in the state.",0,"californias capitol building is ""second only to disneyland,"" among visitor sites in the state.",california capitol building second disneyland visitor site state
"""The Nordic countries are some of the few countries"" that meet development aid goals.",1,"""the nordic countries are some of the few countries"" that meet development aid goals.",nordic country country meet development aid goal
"""I'm also the only lieutenant governor to not take a security detail.""",1,"""i'm also the only lieutenant governor to not take a security detail.""",I lieutenant governor security detail
"""In 2006, Donald Trump was hoping for a real estate crash.""",1,"""in 2006, donald trump was hoping for a real estate crash.""",donald trump hope real estate crash
"""Vietnamese is the third most commonly spoken language in Texas.""",1,"""vietnamese is the third most commonly spoken language in texas.""",vietnamese commonly speak language texas
"It ""is Hillary Clinton's agenda"" to ""release the violent criminals from jail. She wants them all released.""",0,"it ""is hillary clinton's agenda"" to ""release the violent criminals from jail. she wants them all released.""",hillary clinton agenda release violent criminal jail want release
"""There are places in America that are among the most dangerous in the world. You go to places like Oakland. Or Ferguson. The crime numbers are worse. Seriously.""",0,"""there are places in america that are among the most dangerous in the world. you go to places like oakland. or ferguson. the crime numbers are worse. seriously.""",place america dangerous world place like oakland ferguson crime number bad seriously
"""Look, we are at war with these people and they don't wear uniforms. … This is a war against people that are vicious, violent people, that we have no idea who they are, where they come from. We are allowing tens of thousands of them into our country now.""",0,"""look, we are at war with these people and they don't wear uniforms. ... this is a war against people that are vicious, violent people, that we have no idea who they are, where they come from. we are allowing tens of thousands of them into our country now.""",look war people wear uniform war people vicious violent people idea come allow thousand country
"Old City in Philadelphia ""used to have more than a dozen clubs and that's what we were known for and now we’re down to two.""",1,"old city in philadelphia ""used to have more than a dozen clubs and that's what we were known for and now were down to two.""",old city philadelphia use dozen club know
"""The University of Wisconsin System budget is the biggest it has ever been.""",1,"""the university of wisconsin system budget is the biggest it has ever been.""",university wisconsin system budget big
"""I can tell you that the enhanced interrogation techniques that have since been banned by this administration — specifically waterboarding — work.""",0,"""i can tell you that the enhanced interrogation techniques that have since been banned by this administration  specifically waterboarding  work.""",I tell enhanced interrogation technique ban administration specifically waterboarding work
"""The only two (Donald Trump tax returns) we have show that he hasn't paid a penny in taxes.""",0,"""the only two (donald trump tax returns) we have show that he hasn't paid a penny in taxes.""",donald trump tax return pay penny taxis
"""The geography of poverty has changed fundamentally in the last 15 years,"" with more of it concentrated in fragile and conflict states.",1,"""the geography of poverty has changed fundamentally in the last 15 years,"" with more of it concentrated in fragile and conflict states.",geography poverty change fundamentally year concentrate fragile conflict state
"""Let me say that I don't think (Bernie Sanders has) had a single negative ad ever run against him.""",0,"""let me say that i don't think (bernie sanders has) had a single negative ad ever run against him.""",let I I think bernie sander single negative ad run
"""When I was secretary of state, I had a very high approval rating.""",1,"""when i was secretary of state, i had a very high approval rating.""",I secretary state I high approval rating
"""You can import as many hemp products into this country as you want...but we can’t grow it.""",1,"""you can import as many hemp products into this country as you want...but we cant grow it.""",import hemp product country want grow
"A three-cents-per-ounce soda tax in Philadelphia ""would result in the loss of 2,000 family-sustaining Teamster Union jobs and countless other jobs in the beverage industry.""",0,"a three-cents-per-ounce soda tax in philadelphia ""would result in the loss of 2,000 family-sustaining teamster union jobs and countless other jobs in the beverage industry.""",cent ounce soda tax philadelphia result loss family sustain teamster union job countless job beverage industry
"""The first tweet was sent from Austin.""",0,"""the first tweet was sent from austin.""",tweet send austin
"""We now do have evidence"" that Donald Trump is being used as a recruiting tool for terrorists.",1,"""we now do have evidence"" that donald trump is being used as a recruiting tool for terrorists.",evidence donald trump use recruiting tool terrorist
"Says a WHO proposal ""portrays milk and dairy products as an obstacle to a healthy start in life.""",0,"says a who proposal ""portrays milk and dairy products as an obstacle to a healthy start in life.""",proposal portray milk dairy product obstacle healthy start life
"""We just had the best year for the auto industry in America in history.""",1,"""we just had the best year for the auto industry in america in history.""",good year auto industry america history
"Before 2005, ""the percentage of"" Texas high school ""students meeting the college readiness standards of the Texas Higher Education Coordinating Board stood at 28% in English and 42% in math. Those figures stood at 65% and 66% in 2013.""",1,"before 2005, ""the percentage of"" texas high school ""students meeting the college readiness standards of the texas higher education coordinating board stood at 28% in english and 42% in math. those figures stood at 65% and 66% in 2013.""",percentage texas high school student meet college readiness standard texas high education coordinating board stand english math figure stand
"""I have had to fill out FEC reports for the past six years now, and they’re much more detailed than a tax return...""",0,"""i have had to fill out fec reports for the past six years now, and theyre much more detailed than a tax return...""",I fill fec report past year detailed tax return
"Says ""Jacky Rosen has refused to tell us whether she supports Bernie Sanders or Hillary Clinton.""",0,"says ""jacky rosen has refused to tell us whether she supports bernie sanders or hillary clinton.""",jacky rosen refuse tell support bernie sander hillary clinton
"Under Donald Trump's tax plan, ""the top 0.1 percent of taxpayers -- people earning multiple millions of dollars a year, on average --  would get more tax relief than the bottom 60 percent of taxpayers combined.""",1,"under donald trump's tax plan, ""the top 0.1 percent of taxpayers -- people earning multiple millions of dollars a year, on average --  would get more tax relief than the bottom 60 percent of taxpayers combined.""",donald trump tax plan percent taxpayer people earn multiple million dollar year average tax relief percent taxpayer combine
"Zika mosquitoes ""can’t catch me.""",1,"zika mosquitoes ""cant catch me.""",zika mosquito catch I
"Says ""Elizabeth Warren lied when she says I want to abolish the Federal Minimum Wage.""",0,"says ""elizabeth warren lied when she says i want to abolish the federal minimum wage.""",elizabeth warren lie I want abolish federal minimum wage
"Nevada Democratic Party leaders ""hijacked the process on the floor"" of the state convention ""ignoring the regular procedure and ramming through what they wanted to do.""",0,"nevada democratic party leaders ""hijacked the process on the floor"" of the state convention ""ignoring the regular procedure and ramming through what they wanted to do.""",nevada democratic party leader hijack process floor state convention ignore regular procedure ram want
"Says Donald Trump said of women, ""And you can tell them to go f--- themselves.""",0,"says donald trump said of women, ""and you can tell them to go f--- themselves.""",donald trump woman tell
"Says ""Mike Coffman is with Trump.""",0,"says ""mike coffman is with trump.""",mike coffman trump
"Since 2009, ""after-tax incomes are up nearly 14 percent.""",1,"since 2009, ""after-tax incomes are up nearly 14 percent.""",tax income nearly percent
"Says Patrick Murphy ""switched his vote on All Aboard Florida ... because his father tried to get in a bid to build it and was unsuccessful.""",0,"says patrick murphy ""switched his vote on all aboard florida ... because his father tried to get in a bid to build it and was unsuccessful.""",patrick murphy switch vote aboard florida father try bid build unsuccessful
"""Closing our state’s wage gap would make a $9 billion difference to Missouri women.""",1,"""closing our states wage gap would make a $9 billion difference to missouri women.""",close state wage gap billion difference missouri woman
"""Every Republican nominee since Richard Nixon, who at one time was under an audit, has released their tax returns.""",1,"""every republican nominee since richard nixon, who at one time was under an audit, has released their tax returns.""",republican nominee richard nixon time audit release tax return
"Says Demond Means, ""turnaround district"" superintendent for Milwaukee Public Schools, said the district ""needs to be gutted.""",0,"says demond means, ""turnaround district"" superintendent for milwaukee public schools, said the district ""needs to be gutted.""",demond mean turnaround district superintendent milwaukee public school district need gutte
"""The Chinese last year probably stole $360 billion in intellectual property from the United States.""",1,"""the chinese last year probably stole $360 billion in intellectual property from the united states.""",chinese year probably steal billion intellectual property united state
"""Almost 100,000 people left Puerto Rico last year.""",1,"""almost 100,000 people left puerto rico last year.""",people leave puerto rico year
"""Now in half the homes in California, people speak a language other than English in their own homes.""",0,"""now in half the homes in california, people speak a language other than english in their own homes.""",half home california people speak language english home
"Says Patrick Murphy is one of ""only three Democrats in the House today who voted"" to create the Benghazi committee.",1,"says patrick murphy is one of ""only three democrats in the house today who voted"" to create the benghazi committee.",patrick murphy democrat house today vote create benghazi committee
